last_updated_epoch,last_updated,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,city
1700918100,2023-11-25 18:45,28.0,82.4,0,6.9,11.2,50,NE,1011.0,29.85,0.04,0.0,84,75,32.2,89.9,2.3,1.0,1.0,20.7,33.3,Chennai
1700918100,2023-11-25 18:45,31.0,87.8,0,6.9,11.2,280,W,1011.0,29.85,0.0,0.0,63,50,38.1,100.5,2.5,1.0,1.0,13.0,21.0,Mumbai
1700918100,2023-11-25 18:45,26.0,78.8,0,6.0,9.7,118,ESE,1013.0,29.9,0.0,0.0,55,44,26.9,80.5,10.0,6.0,1.0,10.4,16.7,Pune
1700918100,2023-11-25 18:45,25.0,77.0,0,3.8,6.1,120,ESE,1017.0,30.03,0.0,0.0,65,75,26.7,80.1,5.0,3.0,1.0,12.9,20.7,Hyderabad
1700918100,2023-11-25 18:45,21.9,71.5,0,10.5,16.9,92,E,1014.0,29.93,0.03,0.0,84,79,21.9,71.5,10.0,6.0,1.0,15.7,25.2,Bengaluru
1700918100,2023-11-25 18:45,28.6,83.5,0,8.5,13.7,317,NW,1011.0,29.85,0.0,0.0,51,6,29.6,85.2,10.0,6.0,1.0,17.8,28.7,Surat
1700918100,2023-11-25 18:45,24.6,76.4,0,5.4,8.6,353,N,1014.0,29.95,0.0,0.0,44,0,25.3,77.6,10.0,6.0,1.0,11.3,18.1,Kolkata
1700918100,2023-11-25 18:45,27.0,80.6,0,6.9,11.2,10,N,1012.0,29.88,0.0,0.0,42,0,26.7,80.1,4.0,2.0,1.0,10.2,16.5,Ahmedabad
1700918100,2023-11-25 18:45,25.1,77.2,0,11.4,18.4,71,ENE,1014.0,29.96,0.0,0.0,70,28,26.7,80.1,10.0,6.0,1.0,17.9,28.7,Visakhapatnam
1700918100,2023-11-25 18:45,27.0,80.6,0,4.3,6.8,40,NE,1012.0,29.88,0.17,0.01,84,50,31.0,87.7,5.0,3.0,1.0,13.2,21.2,Madurai
