name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1700918809,2023-11-25 18:56
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1700918809,2023-11-25 18:56
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1700918748,2023-11-25 18:55
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1700918811,2023-11-25 18:56
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1700918812,2023-11-25 18:56
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1700918813,2023-11-25 18:56
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1700918813,2023-11-25 18:56
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1700918813,2023-11-25 18:56
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1700918814,2023-11-25 18:56
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1700918815,2023-11-25 18:56
