name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1701136166,2023-11-28 7:19
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1701136417,2023-11-28 7:23
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1701136116,2023-11-28 7:18
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1701136419,2023-11-28 7:23
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1701136420,2023-11-28 7:23
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1701136118,2023-11-28 7:18
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1701136118,2023-11-28 7:18
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1701136422,2023-11-28 7:23
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1701136423,2023-11-28 7:23
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1701136423,2023-11-28 7:23
