last_updated_epoch,last_updated,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,city
1700897400,2023-11-25 13:00,28.0,82.4,1,17.4,28.1,51,NE,1010.0,29.84,0.69,0.03,76,73,31.7,89.1,10.0,6.0,6.0,25.7,41.3,Chennai
1700897400,2023-11-25 13:00,30.0,86.0,1,3.4,5.4,347,NNW,1010.0,29.82,0.0,0.0,57,18,32.5,90.5,10.0,6.0,7.0,5.6,9.0,Mumbai
1700897400,2023-11-25 13:00,29.4,85.0,1,9.2,14.8,120,ESE,1011.0,29.87,0.0,0.0,46,32,30.1,86.2,10.0,6.0,7.0,10.6,17.0,Pune
1700897400,2023-11-25 13:00,26.0,78.8,1,11.9,19.1,110,ESE,1017.0,30.03,0.0,0.0,70,75,27.1,80.9,4.0,2.0,7.0,11.3,18.2,Hyderabad
1700897400,2023-11-25 13:00,26.0,78.8,1,10.5,16.9,80,E,1017.0,30.03,0.85,0.03,74,50,27.5,81.6,6.0,3.0,6.0,15.2,24.4,Bengaluru
1700897400,2023-11-25 13:00,33.2,91.8,1,2.2,3.6,270,W,1010.0,29.83,0.0,0.0,36,7,34.1,93.4,10.0,6.0,8.0,1.4,2.3,Surat
1700897400,2023-11-25 13:00,28.0,82.4,1,8.1,13.0,350,N,1014.0,29.94,0.0,0.0,51,25,27.0,80.6,3.5,2.0,7.0,9.0,14.5,Kolkata
1700897400,2023-11-25 13:00,31.7,89.0,1,8.7,14.0,92,E,1012.0,29.89,0.0,0.0,29,14,30.7,87.3,10.0,6.0,8.0,10.0,16.2,Ahmedabad
1700897400,2023-11-25 13:00,27.9,82.1,1,13.0,20.9,79,E,1013.0,29.9,0.0,0.0,60,12,29.5,85.1,10.0,6.0,7.0,14.9,24.0,Visakhapatnam
1700897400,2023-11-25 13:00,32.0,89.6,1,11.9,19.1,90,E,1011.0,29.85,0.88,0.03,63,50,38.7,101.6,6.0,3.0,6.0,11.1,17.8,Madurai
