name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1701151758,2023-11-28 11:39
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1701151760,2023-11-28 11:39
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1701151717,2023-11-28 11:38
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1701151764,2023-11-28 11:39
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1701151763,2023-11-28 11:39
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1701151765,2023-11-28 11:39
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1701151767,2023-11-28 11:39
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1701151768,2023-11-28 11:39
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1701151770,2023-11-28 11:39
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1701151771,2023-11-28 11:39
