last_updated_epoch,last_updated,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,city
1701167400,2023-11-28 16:00,30.0,86.0,1,11.9,19.1,80,E,1008.0,29.77,0.25,0.01,79,75,36.6,97.8,4.0,2.0,6.0,18.2,29.2,Chennai
1701167400,2023-11-28 16:00,30.0,86.0,1,5.6,9.0,280,W,1008.0,29.77,0.0,0.0,52,25,34.5,94.2,4.0,2.0,7.0,16.0,25.8,Mumbai
1701167400,2023-11-28 16:00,28.5,83.3,1,8.5,13.7,269,W,1008.0,29.78,0.02,0.0,49,75,29.3,84.7,10.0,6.0,6.0,9.8,15.7,Pune
1701167400,2023-11-28 16:00,29.0,84.2,1,8.1,13.0,110,ESE,1013.0,29.91,0.0,0.0,58,75,30.1,86.1,6.0,3.0,7.0,14.3,23.0,Hyderabad
1701167400,2023-11-28 16:00,28.0,82.4,1,6.9,11.2,60,ENE,1014.0,29.94,0.09,0.0,66,50,30.4,86.8,8.0,4.0,5.0,10.8,17.4,Bengaluru
1701167400,2023-11-28 16:00,27.5,81.6,1,9.2,14.8,349,N,1009.0,29.79,0.0,0.0,56,2,28.7,83.6,10.0,6.0,7.0,12.7,20.4,Surat
1701167400,2023-11-28 16:00,30.0,86.0,1,2.2,3.6,10,N,1011.0,29.85,0.0,0.0,43,0,29.3,84.7,3.5,2.0,7.0,7.6,12.2,Kolkata
1701167400,2023-11-28 16:00,26.0,78.8,1,5.6,9.0,60,ENE,1010.0,29.83,0.0,0.0,51,50,26.2,79.1,5.0,3.0,7.0,6.6,10.6,Ahmedabad
1701167400,2023-11-28 16:00,26.4,79.6,1,11.0,17.6,100,E,1011.0,29.85,0.0,0.0,67,18,28.2,82.7,10.0,6.0,7.0,14.0,22.5,Visakhapatnam
1701167400,2023-11-28 16:00,31.0,87.8,1,10.5,16.9,110,ESE,1008.0,29.77,0.02,0.0,63,25,37.5,99.4,6.0,3.0,6.0,10.5,16.9,Madurai
