name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1701168124,2023-11-28 16:12
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1701168125,2023-11-28 16:12
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1701168127,2023-11-28 16:12
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1701168085,2023-11-28 16:11
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1701168130,2023-11-28 16:12
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1701168131,2023-11-28 16:12
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1701168133,2023-11-28 16:12
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1701168134,2023-11-28 16:12
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1701168092,2023-11-28 16:11
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1701168190,2023-11-28 16:13
