last_updated_epoch,last_updated,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,city
1701159300,2023-11-28 13:45,30.0,86.0,1,10.5,16.9,60,ENE,1009.0,29.8,0.54,0.02,79,75,35.7,96.2,4.0,2.0,6.0,15.4,24.8,Chennai
1701159300,2023-11-28 13:45,31.0,87.8,1,10.5,16.9,280,W,1010.0,29.83,0.0,0.0,52,25,36.8,98.2,3.0,1.0,7.0,11.6,18.7,Mumbai
1701159300,2023-11-28 13:45,29.2,84.5,1,3.4,5.4,245,WSW,1009.0,29.8,0.0,0.0,46,28,29.8,85.7,10.0,6.0,7.0,3.9,6.2,Pune
1701159300,2023-11-28 13:45,30.0,86.0,1,2.2,3.6,139,SE,1014.0,29.94,0.0,0.0,49,50,30.9,87.6,6.0,3.0,7.0,13.1,21.1,Hyderabad
1701159300,2023-11-28 13:45,26.0,78.8,1,6.9,11.2,110,ESE,1015.0,29.97,0.02,0.0,61,50,27.0,80.7,10.0,6.0,6.0,12.6,20.3,Bengaluru
1701159300,2023-11-28 13:45,27.8,82.0,1,7.2,11.5,355,N,1010.0,29.83,0.0,0.0,55,3,29.0,84.2,10.0,6.0,7.0,8.4,13.5,Surat
1701159300,2023-11-28 13:45,30.0,86.0,1,9.4,15.1,240,WSW,1011.0,29.85,0.0,0.0,43,0,28.7,83.7,4.0,2.0,8.0,4.1,6.7,Kolkata
1701159300,2023-11-28 13:45,25.0,77.0,1,6.9,11.2,70,ENE,1011.0,29.85,0.0,0.0,57,50,25.6,78.1,5.0,3.0,7.0,6.2,9.9,Ahmedabad
1701159300,2023-11-28 13:45,27.8,82.0,1,9.6,15.5,99,E,1011.0,29.86,0.0,0.0,60,12,29.5,85.0,10.0,6.0,7.0,11.1,17.8,Visakhapatnam
1701159300,2023-11-28 13:45,32.0,89.6,1,9.4,15.1,40,NE,1009.0,29.8,0.1,0.0,59,50,37.8,100.0,6.0,3.0,6.0,11.5,18.5,Madurai
