name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1700977923,2023-11-26 11:22
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1700977923,2023-11-26 11:22
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1700977881,2023-11-26 11:21
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1700977924,2023-11-26 11:22
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1700977925,2023-11-26 11:22
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1700977925,2023-11-26 11:22
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1700977883,2023-11-26 11:21
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1700977926,2023-11-26 11:22
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1700977926,2023-11-26 11:22
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1700977927,2023-11-26 11:22
