name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1701137901,2023-11-28 7:48
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1701137902,2023-11-28 7:48
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1701137610,2023-11-28 7:43
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1701137956,2023-11-28 7:49
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1701137905,2023-11-28 7:48
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1701137905,2023-11-28 7:48
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1701137907,2023-11-28 7:48
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1701137908,2023-11-28 7:48
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1701137908,2023-11-28 7:48
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1701137616,2023-11-28 7:43
