text,icon,code,weather_time,city
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:45,Chennai
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:45,Mumbai
Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2023-11-28 07:45,Pune
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:45,Hyderabad
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:45,Bengaluru
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-28 07:45,Surat
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:45,Kolkata
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:45,Ahmedabad
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-28 07:45,Visakhapatnam
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:45,Madurai
