name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1701137414,2023-11-28 7:40
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1701137415,2023-11-28 7:40
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1701137417,2023-11-28 7:40
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1701137417,2023-11-28 7:40
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1701137418,2023-11-28 7:40
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1701137419,2023-11-28 7:40
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1701137421,2023-11-28 7:40
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1701137422,2023-11-28 7:40
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1701137424,2023-11-28 7:40
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1701137477,2023-11-28 7:41
