text,icon,code,weather_time,city
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-25 11:15,
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-25 11:15,
Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2023-11-25 11:15,
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-25 11:15,
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063,2023-11-25 11:15,
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-25 11:15,
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-25 11:15,
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-25 11:15,
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-25 11:15,
Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2023-11-25 11:15,
