last_updated_epoch,last_updated,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,city
1700891100,2023-11-25 11:15,27.0,80.6,1,5.6,9.0,10,N,1013.0,29.91,0.82,0.03,89,75,30.0,86.0,2.3,1.0,6.0,33.5,53.9,Chennai
1700891100,2023-11-25 11:15,29.0,84.2,1,6.3,10.1,83,E,1012.0,29.89,0.0,0.0,60,12,31.3,88.3,10.0,6.0,7.0,9.4,15.2,Mumbai
1700891100,2023-11-25 11:15,28.6,83.5,1,12.1,19.4,113,ESE,1014.0,29.94,0.0,0.0,50,45,29.5,85.2,10.0,6.0,7.0,13.9,22.4,Pune
1700891100,2023-11-25 11:15,24.0,75.2,1,8.1,13.0,100,E,1019.0,30.09,0.0,0.0,78,75,25.6,78.1,3.0,1.0,6.0,12.1,19.5,Hyderabad
1700891100,2023-11-25 11:15,25.4,77.7,1,11.2,18.0,102,ESE,1013.0,29.93,0.06,0.0,66,70,26.8,80.3,10.0,6.0,6.0,12.9,20.7,Bengaluru
1700891100,2023-11-25 11:15,31.3,88.3,1,5.8,9.4,104,ESE,1013.0,29.91,0.0,0.0,44,6,32.4,90.4,10.0,6.0,8.0,7.4,11.9,Surat
1700891100,2023-11-25 11:15,27.0,80.6,1,9.4,15.1,10,N,1016.0,30.0,0.0,0.0,58,25,26.4,79.5,3.2,1.0,7.0,9.0,14.5,Kolkata
1700891100,2023-11-25 11:15,29.5,85.2,1,12.3,19.8,91,E,1015.0,29.96,0.0,0.0,30,12,28.4,83.1,10.0,6.0,7.0,14.2,22.8,Ahmedabad
1700891100,2023-11-25 11:15,27.7,81.9,1,11.2,18.0,70,ENE,1015.0,29.97,0.0,0.0,60,18,29.3,84.8,10.0,6.0,7.0,12.9,20.7,Visakhapatnam
1700891100,2023-11-25 11:15,30.0,86.0,1,12.5,20.2,60,ENE,1013.0,29.91,0.43,0.02,70,50,34.2,93.6,6.0,3.0,6.0,10.8,17.4,Madurai
