text,icon,code,weather_time,city
Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,1153,2023-11-26 14:45,Chennai
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-26 14:45,Mumbai
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063,2023-11-26 14:45,Pune
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-26 14:45,Hyderabad
Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2023-11-26 14:45,Bengaluru
Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,1243,2023-11-26 14:45,Surat
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-26 14:45,Kolkata
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-26 14:45,Ahmedabad
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-26 14:45,Visakhapatnam
Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,1183,2023-11-26 14:45,Madurai
