last_updated_epoch,last_updated,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,city
1700990100,2023-11-26 14:45,29.0,84.2,1,15.0,24.1,70,ENE,1010.0,29.83,0.5,0.02,84,75,33.7,92.6,4.0,2.0,6.0,19.7,31.8,Chennai
1700990100,2023-11-26 14:45,32.0,89.6,1,5.6,9.0,240,WSW,1010.0,29.83,0.0,0.0,63,50,39.3,102.7,2.5,1.0,6.0,13.3,21.4,Mumbai
1700990100,2023-11-26 14:45,27.9,82.2,1,9.4,15.1,171,S,1011.0,29.85,0.03,0.0,53,69,28.9,84.0,10.0,6.0,6.0,12.0,19.3,Pune
1700990100,2023-11-26 14:45,28.0,82.4,1,6.9,11.2,110,ESE,1016.0,30.0,0.01,0.0,58,75,29.8,85.6,5.0,3.0,6.0,12.1,19.5,Hyderabad
1700990100,2023-11-26 14:45,28.0,82.4,1,13.6,22.0,60,ENE,1016.0,30.0,0.01,0.0,66,50,29.7,85.4,6.0,3.0,6.0,14.7,23.6,Bengaluru
1700990100,2023-11-26 14:45,24.1,75.3,1,10.1,16.2,326,NNW,1011.0,29.84,5.37,0.21,77,81,25.9,78.7,7.0,4.0,5.0,20.6,33.1,Surat
1700990100,2023-11-26 14:45,29.0,84.2,1,8.1,13.0,20,NNE,1013.0,29.91,0.0,0.0,48,25,28.0,82.4,4.5,2.0,7.0,9.3,15.0,Kolkata
1700990100,2023-11-26 14:45,20.0,68.0,1,6.9,11.2,70,ENE,1012.0,29.88,2.49,0.1,88,75,20.0,68.0,1.5,0.0,5.0,17.9,28.8,Ahmedabad
1700990100,2023-11-26 14:45,27.5,81.5,1,12.1,19.4,90,E,1013.0,29.9,0.0,0.0,61,9,29.1,84.4,10.0,6.0,7.0,14.6,23.4,Visakhapatnam
1700990100,2023-11-26 14:45,32.0,89.6,1,6.9,11.2,50,NE,1010.0,29.83,0.51,0.02,59,50,39.6,103.4,6.0,3.0,6.0,16.9,27.1,Madurai
