name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1700993259,2023-11-26 15:37
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1700993311,2023-11-26 15:38
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1700993261,2023-11-26 15:37
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1700993261,2023-11-26 15:37
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1700993261,2023-11-26 15:37
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1700993262,2023-11-26 15:37
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1700993263,2023-11-26 15:37
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1700993263,2023-11-26 15:37
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1700993264,2023-11-26 15:37
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1700993265,2023-11-26 15:37
