last_updated_epoch,last_updated,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,city
1700992800,2023-11-26 15:30,29.0,84.2,1,11.9,19.1,70,ENE,1010.0,29.83,0.45,0.02,84,75,33.9,92.9,4.0,2.0,6.0,20.2,32.5,Chennai
1700992800,2023-11-26 15:30,32.0,89.6,1,11.9,19.1,220,SW,1009.0,29.8,0.0,0.0,59,50,40.0,103.9,2.5,1.0,6.0,15.6,25.1,Mumbai
1700992800,2023-11-26 15:30,27.0,80.5,1,8.1,13.0,176,S,1011.0,29.85,0.02,0.0,56,82,28.0,82.4,10.0,6.0,6.0,10.6,17.1,Pune
1700992800,2023-11-26 15:30,27.0,80.6,1,8.1,13.0,90,E,1015.0,29.97,0.01,0.0,66,50,28.5,83.3,5.0,3.0,6.0,11.6,18.6,Hyderabad
1700992800,2023-11-26 15:30,28.0,82.4,1,12.5,20.2,80,E,1016.0,30.0,0.01,0.0,66,50,29.9,85.9,6.0,3.0,6.0,15.8,25.5,Bengaluru
1700992800,2023-11-26 15:30,23.4,74.1,1,9.6,15.5,343,NNW,1011.0,29.84,3.51,0.14,81,77,25.4,77.7,7.0,4.0,5.0,20.6,33.2,Surat
1700992800,2023-11-26 15:30,29.0,84.2,1,8.1,13.0,10,N,1013.0,29.91,0.0,0.0,48,25,28.0,82.4,4.5,2.0,7.0,9.6,15.4,Kolkata
1700992800,2023-11-26 15:30,21.0,69.8,1,10.5,16.9,70,ENE,1011.0,29.85,0.89,0.04,83,75,21.0,69.8,2.0,1.0,5.0,20.5,33.0,Ahmedabad
1700992800,2023-11-26 15:30,26.9,80.4,1,12.3,19.8,91,E,1012.0,29.9,0.0,0.0,64,9,28.5,83.2,10.0,6.0,7.0,15.6,25.1,Visakhapatnam
1700992800,2023-11-26 15:30,32.0,89.6,1,6.9,11.2,50,NE,1010.0,29.83,0.42,0.02,59,50,40.0,104.1,6.0,3.0,6.0,14.7,23.6,Madurai
