last_updated_epoch,last_updated,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,city
1701146700,2023-11-28 10:15,29.0,84.2,1,9.4,15.1,60,ENE,1012.0,29.88,0.09,0.0,89,75,33.4,92.0,4.0,2.0,6.0,19.9,32.0,Chennai
1701146700,2023-11-28 10:15,29.0,84.2,1,6.9,11.2,90,E,1012.0,29.88,0.0,0.0,62,25,32.9,91.2,2.5,1.0,6.0,5.9,9.5,Mumbai
1701146700,2023-11-28 10:15,25.9,78.6,1,2.5,4.0,138,SE,1013.0,29.91,0.0,0.0,59,41,27.0,80.6,10.0,6.0,7.0,2.8,4.6,Pune
1701146700,2023-11-28 10:15,26.0,78.8,1,8.1,13.0,120,ESE,1017.0,30.03,0.0,0.0,65,25,27.2,80.9,5.0,3.0,7.0,15.2,24.4,Hyderabad
1701146700,2023-11-28 10:15,26.0,78.8,1,6.9,11.2,80,E,1018.0,30.06,0.0,0.0,74,50,27.7,81.9,6.0,3.0,6.0,12.9,20.7,Bengaluru
1701146700,2023-11-28 10:15,25.1,77.2,1,8.9,14.4,34,NE,1013.0,29.92,0.0,0.0,72,48,26.8,80.2,10.0,6.0,7.0,10.5,16.9,Surat
1701146700,2023-11-28 10:15,27.0,80.6,1,3.8,6.1,280,W,1015.0,29.97,0.0,0.0,54,25,26.7,80.0,2.6,1.0,7.0,6.7,10.8,Kolkata
1701146700,2023-11-28 10:15,22.0,71.6,1,8.1,13.0,60,ENE,1014.0,29.94,0.0,0.0,78,0,24.6,76.2,3.0,1.0,6.0,7.2,11.6,Ahmedabad
1701146700,2023-11-28 10:15,27.1,80.8,1,6.9,11.2,61,ENE,1014.0,29.95,0.0,0.0,62,7,28.7,83.6,10.0,6.0,7.0,8.0,12.9,Visakhapatnam
1701146700,2023-11-28 10:15,29.0,84.2,1,9.4,15.1,20,NNE,1013.0,29.91,0.08,0.0,84,50,32.7,90.8,5.0,3.0,6.0,10.3,16.6,Madurai
