name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1701147178,2023-11-28 10:22
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1701147179,2023-11-28 10:22
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1701147333,2023-11-28 10:25
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1701147184,2023-11-28 10:23
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1701147185,2023-11-28 10:23
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1701147337,2023-11-28 10:25
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1701147187,2023-11-28 10:23
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1701147147,2023-11-28 10:22
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1701147342,2023-11-28 10:25
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1701147343,2023-11-28 10:25
