text,icon,code,weather_time,city
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 10:15,Chennai
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 10:15,Mumbai
Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2023-11-28 10:15,Pune
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 10:15,Hyderabad
Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2023-11-28 10:15,Bengaluru
Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2023-11-28 10:15,Surat
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 10:15,Kolkata
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 10:15,Ahmedabad
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-28 10:15,Visakhapatnam
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 10:15,Madurai
